A.R. Costa (marca);
A. Costa (marca);
AJ (marca);
AN (marca);
APCJ (marca);
AR (marca);
ASAD (marca);
BM (marca);
Bointaburet (marca);
DSW (marca);
Daniel Smith & Robert Sharp (marca);
EJ\ DIV (marca);
Edward Barnard & Sons. (marca);
F+E (marca);
FB (marca);
FDG (marca);
FJC (marca);
Garnier (marca);
Harris, Charles Stuart & Sons (marca);
I.I.C (marca);
ICTA (marca);
J.B. Peters (marca);
John Bridge (marca);
John Carter (marca);
John Langford & John Sebille (marcas);
John Parker & Edward Wakelin (marca);
John Payne (marca);
John Wakelin & William Taylor (marca)Parker & Wakelin (A-0271);
LMP (marca);
M. Hammer (marca);
MDC (marca);
MG (marca);
Mappin & Webb (marca);
"Martin (...) (marca) 
Martin Hall & Co."" (marca) ";
ODIOT (marca);
OLRI (marca);
PAGF (marca);
PB AB (marca);
Paul Storr (marca);
RE \ EB (marca);
RP (marca);
Reis Joalheiros (marca);
SH DC (marca);
Sebastian & James Crespell (marca);
Septimus & James Crespell (marca);
TR (marca);
Thomas Heming (marca);
VAD (marca);
VK (marca);
WB (marca);
W Thornhill (marca);
West & Son (marca);
William Bateman (marca);
Willian Pearse (marca);
?;
A.S.;
A. B.;
Abraham Bruegel (1631, Anvers - 1697, Npoles);
Abraham Hondius (1625\30, Rotterdam - c.1695, Londres);
Aelteste Volkstedter Porzellanmanufaktur;
Albert Schurman (marca);
Albrecht Drer (Alemanha,1471-1528);
Aldemir Martins (Ingazeiras-CE, 1922 - So Paulo-SP, 2006);
Alessandro Allori (Florena, 1535 - 1607) e ateli;
Andr Franois;
Anthony Nelme;
Antnio Rodrigues da Costa;
Annimo;
Annimo, membro do grupo de 1520.;
Annimo.;
Apollo (?);
Arnoult J.B.;
Arthur Kaufmann (1888-1971);
Auguste Leroux(1871,Paris-1925,Paris);
Autor desconhecido;
Baccarat;
Baldassare degli Embriachi. Oficina Embriachi;
Bella Karawaewa Prado (Ucrania, 1925 - );
Benjamin Eugne Fichel (Paris, 1826 - 1895);
Birome;
Boucheret;
Branca Lage (?);
Branca Lage - Encadernao de Luxo e Artigos de Presente;
Bruno Giorgi (1905, Mococa \ SP - 1993, Rio de Janeiro \ RJ);
C. G. Schierholz & Sohn;
C. J. V. Ld.;
C & Co.;
Caryb (Hector Julio Pride Bernab; Lans, 1911 - Salvador, 1997) 
Celia Chien;
Chagall(1887, Vitebsk - 1985, Paris);
Chaim Soutine (Russia,1893 -?, 1943);
Charles Eisen (1720, Valenciennes -1778, Bruxelas);
Charles Wright;
Christian Dior;
Christofle;
Civilizao Chavin;
Civilizao Chimu - Costa Norte (?);
Civilizao Lima. Tiahuanaco da Costa.;
Civilizao Maia (?);
Civilizao Mochica;
Civilizao Mochica.;
Civilizao Mochica (?);
Civilizao Nazca;
Civilizao Nazca (?);
Civilizao Tolteca (?);
Claude Lorrain (Lorraine,1600 -Roma, 1682);
Claudio Correa e Castro;
Claudius Innocentius Du Paquier (?);
Coalport Porcelain Works - E. D. Ball;
Coalport Porcelain Works - Percy Simpson;
Compagnie des Cristalleries de Baccarat;
Compagnie des Crstalleries de Baccarat;
Cndido Portinari (1903, Brodsqui\SP - 1962, Rio de Janeiro\RJ);
Crculo de Jacob van Ruisdael (1628\29, Haarlem - 1682, Amsterdam);
Crculo de Pierre Gobert (Fontainebleau,1662 - Paris, 1744);
Cpia de Edgard Degas (1834, Paris - 1917, Paris) falsificao;
Darel Valena Lins (1924, Palmares\PE);
David Teniers (1610, Anturpia - 1694, Bruxelas), cpia de Paolo Veronese (1528 - 1588);
Delvaux;
Deroy;
Discpulo de Rembrandt van Rijn (1606, Leiden - 1669, Amsterdam);
Dominikus Auliczek. Manufatura de Porcelanas de Nymphenburg;
Elizabeth Eaton;
Elizabeth Eaton (?);
Emiliano Di Cavalcanti (1897-1976\Rio de Janeiro, RJ);
Escola Francesa, Sc. XIX.;
Escola Holandesa;
Escola Holandesa, seguidor de Pieter Bruegel.;
Escola Pernambucana;
F. S. Kichmann (A-0356);
F. Sorel;
Falsificador Espanhol;
Fayga Ostrower (1920, Lodz\Polonia - 2001, Rio de Janeiro\RJ);
Fernando Alves Pinto;
Francesco Durantino e associado;
Francis Higgins;
Frans Krajberg;
Frans Post (1612, Leide - 1680, Haarlem);
G. S.;
Gabriel Briard (Paris, Frana, 1725 -1777);
Gallia Christofle. Desenho de douard-Marcel Sandoz;
Gebrder Khne;
Georg Heinrich Macheleid;
Georg Heufel;
Gerda Brentani (Trieste, 1908 - So Paulo, 1999);
Giovanni Battista Gaulli - Il Baciccia (1639, Genova - 1709, Roma);
Goyard;
Grupo Cultural Ashanti;
Grupo Cultural Baabwa;
Grupo Cultural Bakuba;
Grupo Cultural Baul;
Grupo Cultural Iorub;
Grupo Cultural Mossi;
Grupo Cultural Obamba;
Grupo Cultural Songye;
Grupo Cultural Yorub;
Gucci;
Guein;
Guerin (A-0356);
Guillaume Cordi;
H. Bayley (A-0271);
Hanseatische Silberwarenfabrik;
Harrach'sche Glasfabriks und Porzellanniederlage (Comte Harrach);
Harris, Charles Stuart & Sons;
Heinrich Forstler;
Heloisa de Faria;
Henry Jacob Burch, Jr. (1763 - aps 1834);
Herman Lang;
Herms;
I.N.;
IMSR;
Iber Camargo (1914, Restinga Seca\RS - 1994, Porto Alegre\RS);
Ichiyusai Toyokuni (Kunisada);
Imitador de Claude Vernet (1714 - 1789);
Imitador de Frans Hals (1581, Anturpia -1666, Haarlem);
Indstrias Filizola S. A.;
Isabel Pons (1912, Barcelona - 2002, Rio de Janeiro\RJ);
Israel (?);
J. J. Band;
J. P. (marca) e outros;
J. S. & S.;
Jacob Drentwet;
Jacob Petit;
Jakob Grimminger;
James Deakin & Sons;
Jan Bruegel (1568-1625), Velvet Bruegel;
Jan van Goyen (1596, Leiden - 1656, Den Haag);
Jean-Baptiste Greuze (1725,Tournus -1805, Paris);
Jean Patou;
Jerome Wierix (Antwerp,1553-1619), cpia de Albrecht Drer (1471-1528);
Johann Christoph Vogel (Nuremberg, ? - 1750);
Johann Haviland;
John Aldwinckle & Thomas Slater;
John Cam;
John Collins;
John Hoskins (?-1665);
John Parker & Edward Wakelin;
John Watson;
K. K.;
K. W. B.;
Kakei Goro (1930- );
LB & Co (marca);
Lasar Segall (1891, Vilna, Lituania - 1957, So Paulo, SP);
Limoges Unic;
Lin Fengmian ou Lin Fengming (1900-1991);
Loewe S.A.;
Lorenz Hutschenreuther;
Lottieri Lotterinhi (Terri) Della Stufa. Decoraes Terri Ltda.;
Louis Ducomieu;
Maggy Rouff;
Malirene;
Manufatura Real de Berlim;
Manufatura Real de Porcelana de Berlim;
Manufatura Real de Porcelanas de Meissen.;
Manufatura de Capodimonte;
Manufatura de Porcelana de Svres. Andr Vincent Vieillard (1717-1790), pinturas.;
Manufatura de Porcelana de Viena;
Manufatura de Svres; Dodin, Charles Nicolas, 1754-1802 (pinturas). 
Mappin & Webb (John Newton Mappin & George Webb);
Mappin Brothers;
Marc Chagall(1887, Vitebsk - 1985, Paris);
Marcelo Grassmann (1925, So Paulo\SP);
Maria Bonomi (1935, Meina, Itlia);
Marie-Martine;
Mary Chawner;
Maurice de Vlaminck (1876 -1958);
Matre bniste Cramer;
Menezes (escola pernambucana);
Mestre Valentim da Fonseca e Silva (c.1750, Serro\MG - 1813, Rio de Janeiro\RJ);
Miguel Ortiz Berrocal (Villanueva de Algaidas, 1933 - Antequera, 2006);
Nicolaus Fridl;
Noemi Smilansky;
Norma;
Odetto Guersoni (Jaboticabal SP 1924 - So Paulo SP 2007);
Oficina de Lodovico and Angelo Picchi, 1551;
Otto (Crettnen ?);
Otto Lange;
P. L. (monograma);
POTY - Napoleo Potyguara Lazzarotto (1924-1998\Curitiba);
Pablo Picasso (1881, Mlaga - 1973, Mougins);
Paul Crespin (A-0503);
Percy Cartwright;
Peter Taylor (A-0504);
Philips Wouwerman (Haarlem,1619 - 1668);
Pierre-Auguste Renoir (Limoges,1841 - Cagnes,1920);
Pierre Auguste Renoir (?);
Pirkenhammer;
Pompeo Batoni (1708, Lucca-1787, Roma);
Porcelana Thomas;
Real Fbrica do Rato ?;
Reis Filhos Ltda.;
Reis Joalheiros;
Rembrandt van Rijn (1606, Leiden - 1669, Amsterdam);
Renina Katz (Rio de Janeiro\RJ,1926);
Reviillon;
Richard Bayley;
Richard Comyns;
Ritt Augustin (1768-1799);
Roberts & Belk Ltd.;
Rose Klabin;
Rosenthal GmbH;
Rue de la Roquette - Jerome Vincent Dubois;
Rty;
"S.B. Harmann(marca)"" ";
"S.B. Harmann(marca)"") ";
Samsonite;
Sebastiano Ricci (1659-1734);
Seguidor de Gerard ter Borch (Zwolle,1617-1681);
Spode;
T;
TG \ JG \ JC (marca)Guest & Craddock (A-0271);
Tarsila do Amaral (1886, Capivari \ SP - 1973, So Paulo \ SP);
The Reflectone Corporation;
Theo Hoffmann;
Tito Magrini ou Oficina Molaroni;
Toyokuni (Kunisada);
Veyrat et fils;
Victor Brecheret (Farnese, 1894 - So Paulo, 1955);
Vieillard;
Vogue;
W. Gore Ouseley (des.) - J. Neeuram ? (grav.);
Wedgwood;
William Chawner (marca) e outros;
William Eaton (marca) e outros;
William Gibson & John Langman;
William Gurin et Compagnie;
William Peaston (A-0271);
William Sumner (marca) e outros;
Wladimir de Grneisen;
Wouter Knijff (1605, Wesel ? 1694, Bergen op Zoom);
annimo;
atrib. David III Ryckaert;
atrib. Dirck Bouts (c. 1415\1420,Haarlem-1475,Leuvan);
atrib. Dirck Bouts (c. 1415\1420,Haarlem-1475,Leuven);
atrib. Jacopo Francia (Bologna,1486-1557);
atrib. a E. Klingenberger (?-1920);
atrib. a Nicolas Antoine Taunay (Paris,1755 - 1830);
atrib. a Pablo Picasso (1881,Mlaga-1973,Mougins);
atribudo a Adriaen van Ostade (1610, Haarlem - 1685, Saint Bavo);
atribudo a Eugene von Blaas (1843 - 1931);
atribudo a Jan Wyck (1652, Haarlem - 1700, Mortlake);
atribudo a Paul Bril (1554, Anturpia ou Breda - 1626, Roma);
atribudo a Raffaellino del Garbo (c.1466-1524,Florena);
atribudo  David Teniers, (1610, Anturpia - 1694, Bruxelas);
estilo de Sir Thomas Lawrence (1769 - 1830);
RARD Manufacture Franaise de Pianos;
